index,X,Y
1,3.59174,3.36901
2,0.451921,4.7049
3,-1.13612,5.32627
4,5.09637,2.68647
5,3.55688,3.38484
6,4.55507,4.3873
7,3.01184,6.05393
8,4.00338,4.05555
9,-0.013895,4.05803
10,2.0045,5.06161
11,4.55226,4.38685
12,1.56459,0.375925
13,2.56004,4.38053
14,-0.56772,5.70719
15,2.54147,5.38444
16,-0.506578,6.68575
17,5.5464,5.38293
18,2.49176,6.67878
19,1.54639,5.38433
20,0.448984,4.70332
21,6.09203,3.68632
22,-1.1399,5.32611
23,4.09435,3.68247
24,-1.12895,5.32959
25,4.09694,4.68171
26,-1.12638,5.32461
27,7.09066,4.68254
28,7.09192,4.68539
29,3.12764,4.66109
30,-1.12221,5.32663
31,5.00132,5.05217
32,5.54526,6.38713
33,6.56607,5.37598
34,6.08321,5.68443
