index,crossPt.x,crossPt.y,ptU2.x,ptU2.y,thetaU,thetaD,image
0,2076.62,1179.2,1130.72,1143.19,2.18016,-87.795,E:\数据集\对位数据集\对位实验\1-2.jpeg
1,1675.78,1005.5,791.535,1018.79,-0.860879,89.1804,E:\数据集\对位数据集\对位实验\2-2.jpeg
2,1539.84,952.68,647.669,981.937,-1.87821,88.1692,E:\数据集\对位数据集\对位实验\3-2.jpeg
3,1901.61,969.776,891.175,967.283,0.141374,-89.7913,E:\数据集\对位数据集\对位实验\4-2.jpeg
4,1719.25,1060.21,768.503,1057.77,0.147354,-89.8015,E:\数据集\对位数据集\对位实验\5-2.jpeg
5,1720.64,876.478,788.503,874.571,0.117218,-89.7888,E:\数据集\对位数据集\对位实验\6-2.jpeg
6,1990.06,1061.82,1040.5,1059.39,0.14663,-89.8323,E:\数据集\对位数据集\对位实验\7-2.jpeg
7,1627.94,1059.61,676.502,1057.31,0.138107,-89.8364,E:\数据集\对位数据集\对位实验\8-2.jpeg
8,1810.66,1062.07,863.503,1058.95,0.188524,-89.7863,E:\数据集\对位数据集\对位实验\9-2.jpeg
9,1899.91,1061.97,926.345,1059.13,0.167344,-89.8406,E:\数据集\对位数据集\对位实验\10-2.jpeg
10,1943.39,1118.72,993.572,1099.48,1.16055,-88.8123,E:\数据集\对位数据集\对位实验\11-2.jpeg
11,1808.63,1061.24,859.503,1058.54,0.163537,-89.8671,E:\数据集\对位数据集\对位实验\12-2.jpeg
12,1852.73,1118,905.562,1098.8,1.16072,-88.8271,E:\数据集\对位数据集\对位实验\13-2.jpeg
13,1585,913.139,638.535,927.885,-0.892645,89.1744,E:\数据集\对位数据集\对位实验\14-2.jpeg
14,1853.55,934.084,905.552,915.436,1.12687,-88.8218,E:\数据集\对位数据集\对位实验\15-2.jpeg
15,1674.83,1005.81,771.536,1019.36,-0.859799,89.15,E:\数据集\对位数据集\对位实验\16-2.jpeg
16,2125.05,935.905,1177.56,916.825,1.15368,-88.8018,E:\数据集\对位数据集\对位实验\17-2.jpeg
17,1674.56,1005.47,800.535,1018.65,-0.864176,89.1672,E:\数据集\对位数据集\对位实验\18-2.jpeg
18,1763.15,934.047,813.552,915.396,1.12522,-88.8257,E:\数据集\对位数据集\对位实验\19-2.jpeg
19,1494.08,820.564,544.531,835.551,-0.904225,89.1481,E:\数据集\对位数据集\对位实验\20-2.jpeg
20,2167.99,1087.45,1217.22,1051.43,2.16925,-87.8016,E:\数据集\对位数据集\对位实验\21-2.jpeg
21,1538.77,952.184,595.67,983.292,-1.88922,88.1492,E:\数据集\对位数据集\对位实验\22-2.jpeg
22,1448.18,859.76,500.646,891.337,-1.90872,88.1351,E:\数据集\对位数据集\对位实验\23-2.jpeg
23,2077.54,994.753,1103.7,958.169,2.15142,-87.8048,E:\数据集\对位数据集\对位实验\24-2.jpeg
24,1538.66,952.455,596.653,983.457,-1.88494,88.1467,E:\数据集\对位数据集\对位实验\25-2.jpeg
25,2258.19,996.503,1308.89,960.565,2.16799,-87.7876,E:\数据集\对位数据集\对位实验\26-2.jpeg
26,1538.12,951.62,584.316,983.17,-1.89451,88.1435,E:\数据集\对位数据集\对位实验\27-2.jpeg
27,1896.89,994.299,896.744,956.806,2.14688,-87.8144,E:\数据集\对位数据集\对位实验\28-2.jpeg
28,1358.71,767.541,403.248,799.747,-1.93055,88.1542,E:\数据集\对位数据集\对位实验\29-2.jpeg
29,1537.98,1059.67,588.502,1057.3,0.143017,-89.8332,E:\数据集\对位数据集\对位实验\30-2.jpeg
30,2125.86,843.973,1182.55,825.39,1.12854,-88.8002,E:\数据集\对位数据集\对位实验\31-2.jpeg
31,1673.95,1005.41,793.528,1018.5,-0.851743,89.1305,E:\数据集\对位数据集\对位实验\32-2.jpeg
32,1582.95,810.674,651.225,857.91,-2.90222,87.1575,E:\数据集\对位数据集\对位实验\33-2.jpeg
