index,X,Y,Theta,基准图像,待测图像
0,-0.0133288,-4.57764e-05,-1.99814,第1张图,第1张图
1,-0.0155668,-0.00487518,0.997137,第1张图,第2张图
2,-0.0135889,-0.00302887,1.99576,第1张图,第3张图
3,-1.01328,-1.00139,-0.0021909,第1张图,第4张图
4,0.991233,-0.00442505,0.00170365,第1张图,第5张图
5,0.995523,-2.00256,-0.000331318,第1张图,第6张图
6,-2.01136,-0.00391388,0.0024631,第1张图,第7张图
7,1.99816,-0.00504303,0.00179958,第1张图,第8张图
8,-0.000639915,0.00302887,-0.00961932,第1张图,第9张图
9,-1.00361,0.000694275,-0.00217808,第1张图,第10张图
10,-0.013862,-0.000747681,-0.994735,第1张图,第11张图
11,0,0,0,第1张图,第12张图
12,0.991194,-0.00387573,-0.996457,第1张图,第13张图
13,0.989068,-1.00003,1.00192,第1张图,第14张图
14,0.992658,-2.00127,-0.994241,第1张图,第15张图
15,-0.00840855,-0.000740051,0.998425,第1张图,第16张图
16,-2.0052,-2.00137,-0.998071,第1张图,第17张图
17,-0.0109148,-0.00151825,1.0033,第1张图,第18张图
18,2.00011,-1.99917,-0.999485,第1张图,第19张图
19,2.00352,-2.00228,0.998572,第1张图,第20张图
20,-1.01475,-1.00403,-1.99968,第1张图,第21张图
21,-0.00955868,-0.00485992,2.00196,第1张图,第22张图
22,1.00065,-1.00492,1.99956,第1张图,第23张图
23,-0.0146226,-2.00198,-1.99412,第1张图,第24张图
24,-0.00811291,-0.00231171,2.00127,第1张图,第25张图
25,-2.00198,-1.9992,-2.00112,第1张图,第26张图
26,-0.0133677,-0.00776672,2.00783,第1张图,第27张图
27,1.99053,-1.9987,-1.99931,第1张图,第28张图
28,2.00467,-2.004,1.99487,第1张图,第29张图
29,3.00482,-0.00318909,-0.00578506,第1张图,第30张图
30,-2.00843,-2.99872,-0.995127,第1张图,第31张图
31,-0.00143433,-0.0040741,1.00001,第1张图,第32张图
32,-2.00343,-1.00494,3.0008,第1张图,第33张图
