index,双相机X,双相机Y,左相机X,左相机Y,右相机X,右相机Y,基准图像,待测图像
0,-0.0133288,-4.57764e-05,-0.2356,-0.148048,0.168446,0.426842,第1张图,第1张图
1,-0.0155668,-0.00487518,0.253944,-0.328957,0.354805,0.0515442,第1张图,第2张图
2,-0.0135889,-0.00302887,-0.281834,0.324051,-0.217533,0.305962,第1张图,第3张图
3,-0.0132784,-0.00138855,-0.261246,0.0266876,-0.0386429,-0.189728,第1张图,第4张图
4,-0.00876749,-0.00442505,-0.224651,0.0418701,-0.0468903,-0.185143,第1张图,第5张图
5,-0.0044769,-0.00255585,-0.25597,0.0288773,-0.00515366,-0.208321,第1张图,第6张图
6,-0.0113637,-0.00391388,-0.251923,0.0305557,-0.0458527,-0.185715,第1张图,第7张图
7,-0.00183797,-0.00504303,-0.219501,0.044014,-0.0340996,-0.192253,第1张图,第8张图
8,-0.000639915,0.00302887,-0.234375,0.0378342,-0.103806,-0.153481,第1张图,第9张图
9,-0.00361395,0.000694275,-0.235725,0.0372696,-0.074501,-0.169792,第1张图,第10张图
10,-0.013862,-0.000747681,0.281601,0.436455,-0.441826,-0.393845,第1张图,第11张图
11,0,0,-0.228474,0.0402832,-0.0692444,-0.172707,第1张图,第12张图
12,-0.00880575,-0.00387573,0.281006,0.436218,-0.442123,-0.393677,第1张图,第13张图
13,-0.010932,-3.05176e-05,0.261951,-0.32547,0.39922,0.0278702,第1张图,第14张图
14,-0.00734246,-0.00127411,0.260536,0.428131,-0.395748,-0.420502,第1张图,第15张图
15,-0.00840855,-0.000740051,0.248775,-0.331207,0.353344,0.0523224,第1张图,第16张图
16,-0.00519729,-0.00136566,0.232189,0.416939,-0.432434,-0.399284,第1张图,第17张图
17,-0.0109148,-0.00151825,0.255207,-0.3284,0.359451,0.0490646,第1张图,第18张图
18,0.000105619,0.000831604,0.257599,0.426979,-0.39341,-0.421844,第1张图,第19张图
19,0.0035212,-0.00228119,0.243755,-0.333397,0.415386,0.0192566,第1张图,第20张图
20,-0.0147475,-0.00402832,-0.265945,-0.159439,0.183228,0.417946,第1张图,第21张图
21,-0.00955868,-0.00485992,-0.285576,0.322342,-0.202038,0.298042,第1张图,第22张图
22,0.000653267,-0.00492096,-0.284935,0.322632,-0.174572,0.284012,第1张图,第23张图
23,-0.0146226,-0.00197601,-0.258881,-0.156776,0.207428,0.403374,第1张图,第24张图
24,-0.00811291,-0.00231171,-0.284458,0.322853,-0.208076,0.301132,第1张图,第25张图
25,-0.00198317,0.000801086,-0.29076,-0.168732,0.184906,0.416931,第1张图,第26张图
26,-0.0133677,-0.00776672,-0.266609,0.331001,-0.194584,0.294228,第1张图,第27张图
27,-0.00946522,0.001297,-0.25045,-0.153625,0.213531,0.399704,第1张图,第28张图
28,0.00466728,-0.0039978,-0.293644,0.318665,-0.143761,0.268288,第1张图,第29张图
29,0.00481629,-0.00318909,-0.235291,0.0374527,-0.0408554,-0.188499,第1张图,第30张图
30,-0.00842762,0.00128174,0.206444,0.406776,-0.397957,-0.41922,第1张图,第31张图
31,-0.00143433,-0.0040741,0.243778,-0.333382,0.34214,0.0583115,第1张图,第32张图
32,-0.00343275,-0.00494385,0.166149,-0.000183105,0.232552,-0.419312,第1张图,第33张图
